indice_tiempo,origen_visitantes,visitas,observaciones
2022-08-01,residentes,198709,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-08-01,total,245695,Emergencia sanitaria.
2022-09-01,no residentes,54277,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-09-01,residentes,224383,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-09-01,total,278660,Emergencia sanitaria.
2022-10-01,no residentes,67705,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-10-01,residentes,295141,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-10-01,total,362846,Emergencia sanitaria.
2022-11-01,no residentes,101249,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-11-01,residentes,268217,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-11-01,total,369466,Emergencia sanitaria.
2022-12-01,no residentes,113129,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2022-12-01,residentes,157244,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2022-12-01,total,270373,Emergencia sanitaria.
2023-01-01,no residentes,150293,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-01-01,residentes,449024,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-01-01,total,599317,Emergencia sanitaria.
2023-02-01,no residentes,133987,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-02-01,residentes,354687,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-02-01,total,488674,Emergencia sanitaria.
2023-03-01,no residentes,120908,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-03-01,residentes,206607,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-03-01,total,327515,Emergencia sanitaria.
2023-04-01,no residentes,105174,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-04-01,residentes,224651,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-04-01,total,329825,Emergencia sanitaria.
2023-05-01,no residentes,57883,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-05-01,residentes,197834,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-05-01,total,255717,Emergencia sanitaria.
2023-06-01,no residentes,49413,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-06-01,residentes,214305,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-06-01,total,263718,Emergencia sanitaria.
2023-07-01,no residentes,70698,Emergencia sanitaria. Continuan las restricciones a la circulacion de las personas por las fronteras del pais
2023-07-01,residentes,311946,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2023-07-01,total,382644,Emergencia sanitaria.
